country,temperature_celsius,wind_kph,pressure_mb,humidity,cloud,uv_index,hora_local,día_del_año,CondCategoria
Mexico,20.8,10.8,1013.0,47,5,1.0,2,137,Despejado
Mexico,13.0,6.8,1028.0,67,0,5.0,8,137,Despejado
Mexico,23.0,6.8,1024.0,44,0,6.0,10,138,Despejado
Mexico,20.0,6.8,1026.0,53,0,6.0,8,139,Despejado
Mexico,19.0,11.2,1028.0,60,25,5.0,8,140,Nublado
Mexico,21.0,6.1,1026.0,49,0,6.0,8,141,Despejado
Mexico,22.0,6.1,1026.0,35,0,6.0,8,142,Despejado
Mexico,22.0,6.1,1027.0,46,0,6.0,8,143,Despejado
Mexico,18.0,6.8,1026.0,68,25,6.0,8,144,Nublado
Mexico,21.0,6.1,1026.0,49,0,6.0,8,145,Despejado
Mexico,19.0,3.6,1026.0,56,50,6.0,8,146,Nublado
Mexico,22.0,6.8,1027.0,53,25,6.0,8,147,Nublado
Mexico,21.0,3.6,1028.0,46,50,6.0,8,148,Nublado
Mexico,21.0,9.0,1031.0,53,75,6.0,8,149,Nublado
Mexico,17.0,3.6,1031.0,72,100,5.0,8,150,Nublado
Mexico,16.0,6.8,1028.0,68,0,5.0,7,151,Despejado
Mexico,20.0,6.1,1027.0,49,0,5.0,8,152,Despejado
Mexico,21.0,6.1,1028.0,33,50,6.0,8,153,Nublado
Mexico,20.0,9.0,1027.0,28,75,6.0,8,154,Nublado
Mexico,21.0,6.8,1027.0,23,0,6.0,8,155,Despejado
Mexico,22.0,6.1,1025.0,38,0,6.0,8,156,Despejado
Mexico,20.0,9.0,1025.0,43,0,6.0,8,157,Despejado
Mexico,18.0,6.8,1026.0,49,0,6.0,8,158,Despejado
Mexico,18.2,3.6,1027.0,45,0,5.0,8,159,Despejado
Mexico,19.3,6.1,1027.0,46,25,5.0,8,160,Nublado
Mexico,19.3,3.6,1027.0,68,25,5.0,8,161,Nublado
Mexico,19.2,6.1,1025.0,73,75,5.0,8,162,Nublado
Mexico,16.3,4.0,1025.0,55,75,5.0,8,163,Nublado
Mexico,19.2,9.0,1027.0,49,75,5.0,8,164,Nublado
Mexico,17.8,7.2,1016.0,49,4,5.0,8,165,Despejado
Mexico,17.1,13.0,1026.0,59,75,5.0,8,166,Nublado
Mexico,17.1,8.3,1016.0,63,10,5.0,8,167,Despejado
Mexico,17.0,11.2,1024.0,68,75,5.0,7,168,Nublado
Mexico,16.3,11.2,1022.0,63,25,5.0,8,169,Nublado
